t              x              y
0.141    0.6325696349   0.7745081601
0.142    0.6276908358   0.7784674326
0.143    0.6227872567   0.7823959728
0.144    0.6178590912   0.7862936256
0.145    0.6129065339   0.7901602371
0.146    0.6079297803   0.7939956547
0.147    0.6029290269   0.7977997269
0.148     0.597904471   0.8015723037
0.149    0.5928563111    0.805313236
 0.15    0.5877847465   0.8090223762
0.151    0.5826899773   0.8126995778
0.152    0.5775722047   0.8163446958
0.153    0.5724316308   0.8199575862
0.154    0.5672684585   0.8235381063
0.155    0.5620828916   0.8270861149
0.156    0.5568751348   0.8306014718
0.157    0.5516453938   0.8340840383
0.158    0.5463938749    0.837533677
0.159    0.5411207856   0.8409502516
 0.16     0.535826334   0.8443336272
0.161    0.5305107291   0.8476836704
0.162    0.5251741808   0.8510002488
0.163    0.5198168997   0.8542832315
0.164    0.5144390973    0.857532489
0.165     0.509040986   0.8607478929
0.166    0.5036227789   0.8639293163
0.167    0.4981846898   0.8670766337
0.168    0.4927269334   0.8701897207
0.169    0.4872497253   0.8732684546
 0.17    0.4817532816   0.8763127137
0.171    0.4762378193   0.8793223779
0.172    0.4707035563   0.8822973284
0.173    0.4651507108   0.8852374477
0.174    0.4595795023   0.8881426198
0.175    0.4539901505     0.89101273
0.176    0.4483828763   0.8938476649
0.177    0.4427579008   0.8966473128
0.178    0.4371154463    0.899411563
0.179    0.4314557355   0.9021403065
 0.18    0.4257789917   0.9048334355
0.181    0.4200854391   0.9074908437
0.182    0.4143753025   0.9101124262
0.183    0.4086488074   0.9126980795
0.184    0.4029061796   0.9152477015
0.185    0.3971476461   0.9177611917
0.186    0.3913734341   0.9202384508
0.187    0.3855837715   0.9226793809
0.188     0.379778887   0.9250838858
0.189    0.3739590097   0.9274518705
 0.19    0.3681243694   0.9297832415
0.191    0.3622751963   0.9320779069
0.192    0.3564117215    0.934335776
0.193    0.3505341764   0.9365567596
0.194     0.344642793   0.9387407702
0.195    0.3387378039   0.9408877216
0.196    0.3328194422   0.9429975288
0.197    0.3268879416   0.9450701088
0.198    0.3209435363   0.9471053796
0.199    0.3149864608    0.949103261
  0.2    0.3090169505    0.951063674
0.201    0.3030352408   0.9529865413
0.202    0.2970415681   0.9548717869
0.203    0.2910361689   0.9567193365
0.204    0.2850192803   0.9585291171
0.205    0.2789911398   0.9603010573
0.206    0.2729519854   0.9620350872
0.207    0.2669020555   0.9637311382
0.208     0.260841589   0.9653891435
0.209    0.2547708251   0.9670090375
 0.21    0.2486900035   0.9685907564
0.211    0.2425993642   0.9701342377
0.212    0.2364991476   0.9716394206
0.213    0.2303895947   0.9731062454
0.214    0.2242709465   0.9745346545
0.215    0.2181434447   0.9759245913
0.216    0.2120073312   0.9772760011
0.217    0.2058628481   0.9785888305
0.218    0.1997102381   0.9798630276
0.219     0.193549744   0.9810985422
 0.22     0.187381609   0.9822953254
0.221    0.1812060767   0.9834533302
0.222    0.1750233908   0.9845725107
0.223    0.1688337955   0.9856528228
0.224     0.162637535   0.9866942238
0.225     0.156434854   0.9876966726
0.226    0.1502259974   0.9886601297
0.227    0.1440112102   0.9895845571
0.228    0.1377907379   0.9904699182
0.229    0.1315648259   0.9913161781
 0.23    0.1253337201   0.9921233034
0.231    0.1190976664   0.9928912622
0.232    0.1128569111   0.9936200243
0.233    0.1066117004   0.9943095609
0.234    0.1003622811   0.9949598447
0.235   0.09410889964   0.9955708501
0.236   0.08785180305    0.996142553
0.237    0.0815912383   0.9966749309
0.238   0.07532745254   0.9971679626
0.239   0.06906069306   0.9976216288
 0.24   0.06279120724   0.9980359116
0.241   0.05651924259   0.9984107945
0.242   0.05024504672   0.9987462629
0.243    0.0439688673   0.9990423035
